,user_id,car_id,rating,stop_times
0,y14157953A,y-2155004p,4.74,3
1,l17083677O,h17140125L,8.02,1
2,O21165552l,B22876755u,2.0,2
3,R91888593a,I-2258340t,3.28,1
4,s18364005f,B22246797F,5.52,4
5,E70640985M,N-1839822D,4.02,0
6,P59165058s,H-1512213s,6.64,0
7,J43367916E,G-1153171e,0.38,0
8,Y51957909b,q92579907V,3.72,1
9,i28723616D,t19684834s,4.68,2
10,T19187463e,r15504196O,3.88,0
11,K44660237N,R-2027359R,4.23,0
12,u20048000t,P-2227204H,2.5,0
13,U21176649J,K-8915465U,8.42,1
14,I19345133D,R16318248Y,0.53,4
15,l14026564m,f-1498735Z,5.31,0
16,K10525090x,w15256527O,5.88,1
17,U18291199C,d-1638909M,7.99,1
18,M86492522z,E-4001328d,2.14,0
19,J43367916E,h15130253D,8.63,1
20,C27138482L,M-1786506l,7.42,2
21,F17712723D,O19079001s,0.0,0
22,E19739276c,x-1548714k,5.4,1
23,R12297009x,v-1935966T,1.94,2
24,g10995906g,w-1247066y,2.78,1
25,N69728327F,v53440686O,3.35,0
26,o12436523m,H22186863I,3.2,1
27,g16717063w,t17442755k,3.9,1
28,Z82066969C,r-2049651S,5.2,1
29,r13097007R,D20302252H,3.58,1
30,Q59860368x,B11433908y,0.56,1
31,F19599690Q,n84700288Y,3.5,0
32,I21477729A,k50823429c,0.1,0
33,q11712341i,U-6362584Q,7.37,2
34,O19577332P,q25090977a,5.08,1
35,b59558324n,V43499402t,5.07,13
36,x19381770H,q15163647k,7.95,1
37,z17002047a,W86413939q,4.23,13
38,x34068520q,H22956801B,1.26,0
39,B17391378X,e78313402L,5.44,3
40,B15915723A,x16453445a,5.83,13
41,C18770126Y,P74322315x,0.1,3
42,m16669297r,F19447831G,4.7,0
43,H22518078t,H72631192M,5.47,2
44,t73338842u,L-2155385D,0.1,1
45,k21317566V,Y17319354d,7.36,1
46,l17038343w,b-1088056N,5.02,1
47,I24411762D,R17548053Q,9.72,1
48,r13379697G,I-6482386t,4.77,1
49,A16017408N,B43377576R,4.98,0
50,A34830707o,a-1405894q,4.81,1
51,k48302171g,U55413283u,5.63,0
52,o14313998d,A21009715v,2.27,1
53,k19209095H,g-1957069S,6.46,1
54,b11613267Y,w-1481290E,4.08,2
55,O26131981P,w-3360902w,3.67,0
56,I37836441V,o-3502321X,2.48,0
57,D54945458N,x11964154C,4.81,0
58,I46192691H,l-4285389z,2.8,0
59,O43919409q,W15477386C,3.27,12
60,f17091323o,V21055732W,6.21,0
61,q18132740R,O18707780M,5.9,13
62,N22512963f,o-1588203t,5.78,1
63,o35187417a,s17437438h,4.05,1
64,K20983498Z,n-6003131B,3.89,0
65,d14336147W,T-1009246T,0.82,0
66,m74141088p,B20112755F,1.77,1
67,j77599953d,b-7314701z,5.75,2
68,A11995515p,s-5301854b,3.63,0
69,W57825837L,q92431240q,6.77,1
70,U10145853a,V12754137r,4.23,4
71,g22687620A,J-2186173q,0.1,0
72,r37705748L,J22352968u,4.65,2
73,k83620654u,j-2557842j,4.5,0
74,E84048392U,C-1335407d,4.73,1
75,v12408788f,M82843835N,4.89,0
76,m12642239Z,v-3129503S,1.92,0
77,o13508212e,z30508487R,7.71,2
78,j74219686i,j-2299409Z,2.96,0
79,e18994206A,n47427969O,1.45,1
80,X19383240R,f21333384S,5.22,2
81,D95859162b,u-2290162o,6.52,3
82,g58214322G,Z-8212382G,7.9,1
83,g20074710G,Q-6918324o,8.61,1
84,c21836155H,k-1039028Y,5.35,2
85,i10339312f,j19148530u,7.47,1
86,u12257482B,h16480906Q,5.9,0
87,c15199528x,R72473068v,0.1,0
88,v20575355x,E-1275783r,5.92,0
89,E17800014v,C-1753458i,8.3,0
90,C37428155W,l-6722826Q,7.12,1
91,X64093052F,J-2127749D,5.21,0
92,n14433928c,y-2117938S,3.7,0
93,r13309267X,g19494953p,0.1,1
